- | [] | [20180903 13:48:46.152] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.RequestMappingHandlerMapping] | --> Mapped "{[/error],produces=[text/html]}" onto public org.springframework.web.servlet.ModelAndView org.springframework.boot.autoconfigure.web.servlet.error.BasicErrorController.errorHtml(javax.servlet.http.HttpServletRequest,javax.servlet.http.HttpServletResponse)|
- | [] | [20180903 13:48:46.233] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.h.SimpleUrlHandlerMapping] | --> Mapped URL path [/webjars/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]|
- | [] | [20180903 13:48:46.233] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.h.SimpleUrlHandlerMapping] | --> Mapped URL path [/**] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]|
- | [] | [20180903 13:48:46.273] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.s.m.m.a.ExceptionHandlerExceptionResolver] | --> Detected @ExceptionHandler methods in globalExceptionHandler|
- | [] | [20180903 13:48:47.689] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.m.m.util.CookieUtilTest] | --> Started CookieUtilTest in 12.12 seconds (JVM running for 16.011)|
- | [] | [20180903 13:48:48.145] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.alibaba.druid.pool.DruidDataSource] | --> {dataSource-1} inited|
- | [] | [20180903 13:48:49.026] | [INFO] | [DESKTOP-BRH4R3I] | [Thread-7] | [c.alibaba.druid.pool.DruidDataSource] | --> {dataSource-1} closed|
- | [] | [20180903 13:50:54.543] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.m.m.util.CookieUtilTest] | --> Starting CookieUtilTest on DESKTOP-BRH4R3I with PID 9076 (started by root in C:\Users\root\Desktop\sun\millionaire-club\millionaire-client-web)|
- | [] | [20180903 13:50:54.549] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [c.m.m.util.CookieUtilTest] | --> No active profile set, falling back to default profiles: default|
- | [] | [20180903 13:50:54.646] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.w.c.s.GenericWebApplicationContext] | --> Refreshing org.springframework.web.context.support.GenericWebApplicationContext@2767e23c: startup date [Mon Sep 03 13:50:54 CST 2018]; root of context hierarchy|
- | [] | [20180903 13:50:57.938] | [INFO] | [DESKTOP-BRH4R3I] | [main] | [o.s.d.r.c.RepositoryConfigurationDelegate] | --> Multiple Spring Data modules found, entering strict repository configuration mode!|
