- | [] | [20180906 11:24:44.113] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.web.context.ContextLoader] | --> Root WebApplicationContext: initialization completed in 9898 ms|
- | [] | [20180906 11:24:44.566] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.b.w.s.ServletRegistrationBean] | --> Servlet dispatcherServlet mapped to [/]|
- | [] | [20180906 11:24:44.599] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.b.w.s.FilterRegistrationBean] | --> Mapping filter: 'characterEncodingFilter' to: [/*]|
- | [] | [20180906 11:24:44.600] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.b.w.s.FilterRegistrationBean] | --> Mapping filter: 'hiddenHttpMethodFilter' to: [/*]|
- | [] | [20180906 11:24:44.600] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.b.w.s.FilterRegistrationBean] | --> Mapping filter: 'requestContextFilter' to: [/*]|
- | [] | [20180906 11:24:44.600] | [INFO] | [DESKTOP-RR6N2CI] | [localhost-startStop-1] | [o.s.b.w.s.FilterRegistrationBean] | --> Mapping filter: 'putFilter' to: [/*]|
- | [] | [20180906 11:24:49.229] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [c.alibaba.druid.pool.DruidDataSource] | --> {dataSource-1} inited|
- | [] | [20180906 11:24:50.172] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [org.quartz.impl.StdSchedulerFactory] | --> Using default implementation for ThreadExecutor|
- | [] | [20180906 11:24:50.239] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [o.quartz.core.SchedulerSignalerImpl] | --> Initialized Scheduler Signaller of type: class org.quartz.core.SchedulerSignalerImpl|
- | [] | [20180906 11:24:50.239] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [org.quartz.core.QuartzScheduler] | --> Quartz Scheduler v.2.3.0 created.|
- | [] | [20180906 11:24:50.245] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [org.quartz.simpl.RAMJobStore] | --> RAMJobStore initialized.|
- | [] | [20180906 11:24:50.250] | [INFO] | [DESKTOP-RR6N2CI] | [main] | [org.quartz.core.QuartzScheduler] | --> Scheduler meta-data: Quartz Scheduler (v2.3.0) 'schedulerFactoryBean' with instanceId 'NON_CLUSTERED'
  Scheduler class: 'org.quartz.core.QuartzScheduler' - running locally.
  NOT STARTED.
  Currently in standby mode.
  Number of jobs executed: 0
  Using thread pool 'org.quartz.simpl.SimpleThreadPool' - with 10 threads.
  Using job-store 'org.quartz.simpl.RAMJobStore' - which does not support persistence. and is not clustered.
|
